Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2023,Bahrain,HUL,4.0,SOFT,14,0.4051304580267726,0.27024869865008555,True
2023,Bahrain,LEC,2.0,HARD,17,0.4016897676675936,0.4277400851140431,False
2023,Bahrain,MAG,1.0,HARD,12,0.4202128246101265,0.49906256506148766,False
2023,Bahrain,MAG,2.0,HARD,11,0.26859295937135713,0.26897699861414415,False
2023,Bahrain,MAG,4.0,SOFT,13,0.2682086752373753,0.29716822723033487,False
2023,Bahrain,OCO,3.0,HARD,15,0.4766898767632481,0.5114261238114078,False
2023,Bahrain,PER,1.0,SOFT,14,0.2958971305543683,0.27802681491577835,True
2023,Bahrain,PER,2.0,SOFT,14,0.23660716601141282,0.18121296011168384,True
2023,Bahrain,PER,3.0,HARD,19,0.3747417500981117,0.3140835439784701,True
2023,Bahrain,PIA,1.0,SOFT,10,0.2404072087568257,0.20062562829332967,True
2023,Bahrain,RUS,1.0,SOFT,10,0.14127607778800547,0.15733826536079987,False
2023,Bahrain,RUS,2.0,HARD,14,0.12810901064980332,0.1420929028981352,False
2023,Bahrain,RUS,3.0,HARD,22,0.20759595091943092,0.2056193138076844,True
2023,Bahrain,SAI,1.0,SOFT,10,0.153592855839726,0.15043299859202988,True
2023,Bahrain,SAI,2.0,HARD,15,0.1397183220411549,0.15304199716454275,False
2023,Bahrain,SAI,3.0,HARD,21,0.2349910652573015,0.2438090221493851,False
2023,Bahrain,SAR,2.0,SOFT,15,0.2151946833360695,0.19688543763687447,True
2023,Bahrain,SAR,4.0,SOFT,13,0.47099763251086296,0.5378407894281659,False
2023,Bahrain,STR,1.0,SOFT,11,0.5059179496786675,0.760739251893245,False
2023,Bahrain,STR,2.0,HARD,12,0.25864432603411014,0.28001871364336656,False
